seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2027,m2_a4_e8,train/421_G.png,G,0.778947037511494,0.7597834169326257,0.7991023797686074,297342,94009,74753
2027,m2_a4_e8,train/442_G.png,G,0.5094593964374308,0.47858323041490036,0.5445943187051624,114703,124969,95918
2027,m2_a4_e8,train/453_N.png,N,0.7173181746763946,0.7316744424323947,0.7035144375898892,267078,97945,112556
2027,m2_a4_e8,train/489_N.png,N,0.8365239940023123,0.8694105498759251,0.8060347096046614,321628,48310,77397
2027,m2_a4_e8,train/8_A.png,A,0.6902195840887427,0.781231304292335,0.6182005826155842,195875,54851,120972
2027,m2_a8_e16,train/138_A.png,A,0.5620460464476915,0.6432714222539715,0.499033481774699,151282,83894,151868
2027,m2_a8_e16,train/177_D.png,D,0.7774716362124349,0.8292061676814014,0.7318134768509094,255228,52570,93533
2027,m2_a8_e16,train/222_D.png,D,0.20191675976082682,0.14162354451532855,0.35160520645999893,39493,239366,72829
2027,m2_a8_e16,train/421_G.png,G,0.7789051658489861,0.7691418869526258,0.7889194963651756,293553,88110,78542
2027,m2_a8_e16,train/442_G.png,G,0.4947735340387337,0.4494531916543861,0.5502585212300768,115896,141964,94725
2027,m2_a8_e16,train/453_N.png,N,0.7087668926901477,0.687952335968938,0.730880268890563,277467,125856,102167
2027,m2_a8_e16,train/489_N.png,N,0.8205731705062064,0.8674660776270117,0.7784900695445147,310637,47460,88388
2027,m2_a8_e16,train/8_A.png,A,0.6886305409024295,0.7768227752250841,0.6184215094351533,195945,56294,120902
2028,m2_a2_e4,train/138_A.png,A,0.6038852423303877,0.7092215622149547,0.5257925119577767,159394,65351,143756
2028,m2_a2_e4,train/177_D.png,D,0.8061653976153664,0.8397328777760522,0.7751784173115687,270352,51598,78409
2028,m2_a2_e4,train/222_D.png,D,0.2685721250533244,0.19494040438160498,0.43158953722334004,48477,200199,63845
2028,m2_a2_e4,train/421_G.png,G,0.8102203456182541,0.8443981407276807,0.7787016756473482,289751,53394,82344
2028,m2_a2_e4,train/442_G.png,G,0.5428932845365195,0.5329351176809579,0.5532306844996463,116522,102120,94099
2028,m2_a2_e4,train/453_N.png,N,0.7187275800430463,0.7378023240008987,0.7006142758551658,265977,94522,113657
2028,m2_a2_e4,train/489_N.png,N,0.8451609533769574,0.8594022009450385,0.8313839984963348,331743,54273,67282
2028,m2_a2_e4,train/8_A.png,A,0.7321359412157461,0.8231040814557375,0.659274034470896,208889,44893,107958
2028,m1_a4_e4,train/138_A.png,A,0.6235788600723764,0.7274218372103249,0.5456803562592776,165423,61987,137727
2028,m1_a4_e4,train/177_D.png,D,0.8080050310201642,0.8390599815973273,0.7791668219783748,271743,52123,77018
2028,m1_a4_e4,train/222_D.png,D,0.29068555766687976,0.21623710780588426,0.44331475579138546,49794,180481,62528
2028,m1_a4_e4,train/421_G.png,G,0.8162829294619849,0.8507641908670156,0.7844878324083904,291904,51204,80191
2028,m1_a4_e4,train/442_G.png,G,0.5411738666679224,0.5368043423425106,0.5456151096044554,114918,99160,95703
2028,m1_a4_e4,train/453_N.png,N,0.7353665635444395,0.7304011371225291,0.7403999641760222,281081,103750,98553
2028,m1_a4_e4,train/489_N.png,N,0.8513589846672128,0.8645824450973248,0.8385339264457115,334596,52407,64429
2028,m1_a4_e4,train/8_A.png,A,0.739317519111041,0.8304952037708827,0.6661795756311406,211077,43081,105770
2028,m4_a1_e4,train/138_A.png,A,0.6242392561741733,0.729386705709586,0.5455879927428666,165395,61364,137755
2028,m4_a1_e4,train/177_D.png,D,0.8069109747995793,0.8396599881578661,0.7766206657281061,270855,51722,77906
2028,m4_a1_e4,train/222_D.png,D,0.2853632657619925,0.2129998113298612,0.43219493954879723,48545,179366,63777
2028,m4_a1_e4,train/421_G.png,G,0.8156898562536007,0.854747846572922,0.7800454185087142,290251,49324,81844
